"INTNR","kvotgrupp","BG_COUNTRY","BG_Gender","BG_Age","AGE_ITA","MUN_ITA","NUTS2","lik_airp","imp_ind_airp","imp_oth_airp","prep_aut_airp","prep_ind_airp","know_aut_airp","know_ind_airp","exper_airp","work","education","income","politic","smoke","lik_airp_rel","imp_ind_airp_rel","we","PM10_mean"
1454,"Italien riksrep",1,0,"1",3,4,NA,3,4,5,3,3,4,3,0,1,0,1,2,0,1.2,1.33333333333333,0.90260106,29.9320686058126
1591,"Italien riksrep",1,0,"1",3,4,NA,NA,5,5,4,NA,5,NA,NA,0,0,NA,NA,0,NA,1.21951219512195,0.90260106,29.9320686058126
1394,"Italien riksrep",1,0,"1",3,4,NA,4,4,4,3,2,3,3,1,1,0,1,0,0,1.42857142857143,1.29032258064516,0.90260106,29.9320686058126
1241,"Italien riksrep",1,0,"1",3,4,NA,5,5,5,3,1,2,3,1,1,0,1,NA,1,1.72413793103448,1.21951219512195,0.90260106,29.9320686058126
1369,"Italien riksrep",1,0,"1",3,1,NA,5,5,5,2,2,3,3,1,1,0,1,0,0,1.66666666666667,1.42857142857143,0.90260106,27.9600902352672
1374,"Italien riksrep",1,0,"1",3,1,NA,NA,NA,NA,3,NA,3,2,0,0,0,NA,2,NA,NA,NA,0.90260106,27.9600902352672
1486,"Italien riksrep",1,0,"1",3,18,NA,5,NA,5,5,5,5,5,0,0,0,0,2,1,2.38095238095238,NA,0.90260106,20.7878009348761
1321,"Italien riksrep",1,0,"1",3,18,NA,4,4,5,2,1,2,2,0,1,1,NA,NA,1,1.18518518518519,1.08108108108108,0.90260106,20.7878009348761
1404,"Italien riksrep",1,0,"1",3,15,NA,5,5,NA,2,1,2,3,0,1,0,1,1,0,1.125,1.09756097560976,0.90260106,24.2004089824606
1551,"Italien riksrep",1,0,"1",3,16,NA,4,4,4,2,2,3,4,1,1,0,1,2,0,1.21212121212121,1.21212121212121,0.90260106,21.4124740394816
1441,"Italien riksrep",1,0,"1",3,16,NA,4,4,5,NA,3,3,1,0,1,0,1,1,1,1.6,1.25,0.90260106,21.4124740394816
1267,"Italien riksrep",1,0,"1",3,16,NA,5,5,4,2,1,2,2,1,1,1,1,NA,0,1.5,1.48148148148148,0.90260106,21.4124740394816
1385,"Italien riksrep",1,0,"2",4,11,NA,5,5,5,3,3,3,3,0,1,1,1,2,1,1.72413793103448,1.5625,0.90260106,23.4639123482115
1233,"Italien riksrep",1,0,"2",4,11,NA,5,4,4,1,1,1,1,0,0,1,1,NA,0,1.38888888888889,1,0.90260106,23.4639123482115
1846,"Italien riksrep",1,0,"1",3,9,NA,5,NA,5,2,1,NA,2,0,0,0,1,0,0,1.875,NA,0.90260106,20.6309126790573
1399,"Italien riksrep",1,0,"2",4,9,NA,NA,NA,NA,3,NA,NA,NA,NA,0,0,0,1,0,NA,NA,0.90260106,20.6309126790573
1651,"Italien riksrep",1,0,"1",3,9,NA,3,4,3,3,3,3,2,0,0,0,1,1,0,1.33333333333333,1.14285714285714,0.90260106,20.6309126790573
1375,"Italien riksrep",1,0,"1",3,9,NA,4,4,4,3,NA,3,3,1,0,0,1,NA,1,1.24137931034483,1.09090909090909,0.90260106,20.6309126790573
1469,"Italien riksrep",1,0,"2",4,19,NA,5,5,5,3,1,4,4,1,0,0,1,NA,0,2.08333333333333,1.78571428571429,0.90260106,23.6267827677519
1411,"Italien riksrep",1,0,"1",3,19,NA,3,3,3,2,2,2,2,0,1,1,1,NA,0,1.125,1.28571428571429,0.90260106,23.6267827677519
1225,"Italien riksrep",1,0,"2",3,19,NA,5,4,5,3,3,3,4,1,1,1,1,2,1,1.66666666666667,1.33333333333333,0.90260106,23.6267827677519
1240,"Italien riksrep",1,0,"1",3,19,NA,4,4,4,3,2,3,3,0,1,1,1,0,0,1.25,1.29032258064516,0.90260106,23.6267827677519
1511,"Italien riksrep",1,0,"1",3,19,NA,5,5,5,3,1,5,2,0,0,0,1,1,1,1.55172413793103,1.38888888888889,0.90260106,23.6267827677519
1228,"Italien riksrep",1,0,"2",4,19,NA,5,5,4,2,2,3,4,1,0,0,0,NA,0,1.95652173913044,1.32352941176471,0.90260106,23.6267827677519
1388,"Italien riksrep",1,0,"1",3,19,NA,5,5,5,1,2,3,5,1,0,1,1,1,0,1.72413793103448,1.85185185185185,0.90260106,23.6267827677519
1368,"Italien riksrep",1,0,"1",3,8,NA,5,5,5,3,NA,3,2,1,0,0,1,0,1,1.78571428571429,1.47058823529412,0.90260106,25.3944252589319
1584,"Italien riksrep",1,0,"1",4,8,NA,4,4,5,3,1,3,3,0,0,0,1,NA,0,1.25,1.17647058823529,0.90260106,25.3944252589319
1597,"Italien riksrep",1,0,"2",2,8,NA,5,4,4,2,2,3,3,0,1,0,1,2,1,2.27272727272727,1.66666666666667,0.90260106,25.3944252589319
